t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
1.7110000000e+00 4.31395 5.66206 5.66206 4.31395 2.96584 2.96584 -0.134811 -1.2133 -12 -12 -12 -2 0
1.7210000000e+00 4.18442 5.49205 5.49205 4.18442 2.87679 2.87679 -0.130763 -1.17687 -12 -12 -12 -2 0
1.7310000000e+00 4.05469 5.32178 5.32178 4.05469 2.7876 2.7876 -0.126709 -1.14038 -12 -12 -12 -2 0
1.7410000000e+00 3.92529 5.15194 5.15194 3.92529 2.69864 2.69864 -0.122665 -1.10399 -12 -12 -12 -2 0
1.7510000000e+00 3.79672 4.98319 4.98319 3.79672 2.61024 2.61024 -0.118647 -1.06783 -12 -12 -12 -2 0
1.7610000000e+00 3.66948 4.81619 4.81619 3.66948 2.52277 2.52277 -0.114671 -1.03204 -12 -12 -12 -2 0
1.7710000000e+00 3.54405 4.65157 4.65157 3.54405 2.43654 2.43654 -0.110752 -0.996765 -12 -12 -12 -2 0
1.7810000000e+00 3.42093 4.48997 4.48997 3.42093 2.35189 2.35189 -0.106904 -0.962136 -12 -12 -12 -2 0
1.7910000000e+00 3.30056 4.33199 4.33199 3.30056 2.26914 2.26914 -0.103143 -0.928284 -12 -12 -12 -2 0
1.8010000000e+00 3.18341 4.17822 4.17822 3.18341 2.18859 2.18859 -0.0994815 -0.895334 -12 -12 -12 -2 0
1.8110000000e+00 3.06989 4.02923 4.02923 3.06989 2.11055 2.11055 -0.0959342 -0.863407 -12 -12 -12 -2 0
1.8210000000e+00 2.96043 3.88556 3.88556 2.96043 2.0353 2.0353 -0.0925134 -0.832621 -12 -12 -12 -2 0
1.8310000000e+00 2.85541 3.74773 3.74773 2.85541 1.9631 1.9631 -0.0892316 -0.803084 -12 -12 -12 -2 0
1.8410000000e+00 2.75521 3.61621 3.61621 2.75521 1.89421 1.89421 -0.0861002 -0.774902 -12 -12 -12 -2 0
1.8510000000e+00 2.66017 3.49147 3.49147 2.66017 1.82887 1.82887 -0.0831302 -0.748172 -12 -12 -12 -2 0
1.8610000000e+00 2.57062 3.37393 3.37393 2.57062 1.7673 1.7673 -0.0803317 -0.722986 -12 -12 -12 -2 0
1.8710000000e+00 2.48685 3.26399 3.26399 2.48685 1.70971 1.70971 -0.0777141 -0.699427 -12 -12 -12 -2 0
1.8810000000e+00 2.40914 3.162 3.162 2.40914 1.65629 1.65629 -0.0752858 -0.677572 -12 -12 -12 -2 0
1.8910000000e+00 2.33775 3.06829 3.06829 2.33775 1.6072 1.6072 -0.0730546 -0.657491 -12 -12 -12 -2 0
1.9010000000e+00 2.27288 2.98315 2.98315 2.27288 1.5626 1.5626 -0.0710274 -0.639246 -12 -12 -12 -2 0
1.9110000000e+00 2.21472 2.90682 2.90682 2.21472 1.52262 1.52262 -0.0692101 -0.62289 -12 -12 -12 -2 0
1.9210000000e+00 2.16345 2.83953 2.83953 2.16345 1.48737 1.48737 -0.0676078 -0.60847 -12 -12 -12 -2 0
1.9310000000e+00 2.11919 2.78144 2.78144 2.11919 1.45694 1.45694 -0.0662247 -0.596023 -12 -12 -12 -2 0
1.9410000000e+00 2.08205 2.7327 2.7327 2.08205 1.43141 1.43141 -0.0650642 -0.585578 -12 -12 -12 -2 0
1.9510000000e+00 2.05211 2.6934 2.6934 2.05211 1.41083 1.41083 -0.0641285 -0.577157 -12 -12 -12 -2 0
1.9610000000e+00 2.02941 2.6636 2.6636 2.02941 1.39522 1.39522 -0.0634192 -0.570772 -12 -12 -12 -2 0
1.9710000000e+00 2.01397 2.64334 2.64334 2.01397 1.38461 1.38461 -0.0629367 -0.56643 -12 -12 -12 -2 0
1.9810000000e+00 2.00579 2.63259 2.63259 2.00579 1.37898 1.37898 -0.0626808 -0.564127 -12 -12 -12 -2 0
1.9910000000e+00 2.00481 2.63131 2.63131 2.00481 1.3783 1.3783 -0.0626502 -0.563852 -12 -12 -12 -2 0
2.0010000000e+00 2.01097 2.63939 2.63939 2.01097 1.38254 1.38254 -0.0628427 -0.565585 -12 -12 -12 -2 0
2.0110000000e+00 2.02417 2.65673 2.65673 2.02417 1.39162 1.39162 -0.0632555 -0.569299 -12 -12 -12 -2 0
2.0210000000e+00 2.04431 2.68315 2.68315 2.04431 1.40546 1.40546 -0.0638846 -0.574961 -12 -12 -12 -2 0
2.0310000000e+00 2.07121 2.71847 2.71847 2.07121 1.42396 1.42396 -0.0647254 -0.582529 -12 -12 -12 -2 0
2.0410000000e+00 2.10472 2.76245 2.76245 2.10472 1.447 1.447 -0.0657726 -0.591953 -12 -12 -12 -2 0
2.0510000000e+00 2.14463 2.81483 2.81483 2.14463 1.47444 1.47444 -0.0670198 -0.603178 -12 -12 -12 -2 0
2.0610000000e+00 2.19073 2.87533 2.87533 2.19073 1.50613 1.50613 -0.0684602 -0.616142 -12 -12 -12 -2 0
2.0710000000e+00 2.24276 2.94362 2.94362 2.24276 1.5419 1.5419 -0.0700863 -0.630776 -12 -12 -12 -2 0
2.0810000000e+00 2.30047 3.01936 3.01936 2.30047 1.58157 1.58157 -0.0718896 -0.647006 -12 -12 -12 -2 0
2.0910000000e+00 2.36356 3.10218 3.10218 2.36356 1.62495 1.62495 -0.0738613 -0.664752 -12 -12 -12 -2 0
